config_id,basin_en,basin_cn,season,block_count,correlation_method,deseason_method,search_max_lag_days,observed_best_lag_days,observed_max_correlation,bootstrap_max_correlation_median,bootstrap_max_correlation_ci025,bootstrap_max_correlation_ci975,bootstrap_best_lag_mode_days,bootstrap_mode_probability,bootstrap_best_lag_ci025,bootstrap_best_lag_ci975,bootstrap_best_lag_ci_width_days,near_peak_001_lag_ranges,near_peak_002_lag_ranges,stability_class,bootstrap_reps
full2020_month_median_spearman,Ganjiang,赣江,Summer,15,spearman,month_median,15,4,0.3710644662,0.3749960661,0.3020261854,0.4448756859,4,0.914,3,4,1,4,3-4,稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,Summer,15,spearman,month_median,20,4,0.3710644662,0.3749960661,0.3020261854,0.4448756859,4,0.914,3,4,1,4,3-4,稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,Winter,14,spearman,month_median,10,6,0.3055799879,0.3107258677,0.2070820518,0.3963932328,6,0.708,5,10,5,6-7,5-9,不稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,Winter,14,spearman,month_median,15,6,0.3055799879,0.3108660281,0.2070820518,0.3963932328,6,0.7035,5,10,5,6-7,5-9,不稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,Winter,14,spearman,month_median,20,6,0.3055799879,0.3108660281,0.2070820518,0.3963932328,6,0.7035,5,10,5,6-7,5-9,不稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,All,15,spearman,month_median,10,2,0.3109948709,0.3127502054,0.2107234616,0.3922904402,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,All,15,spearman,month_median,15,2,0.3109948709,0.3127502054,0.2107234616,0.3922904402,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,All,15,spearman,month_median,20,2,0.3109948709,0.3127502054,0.2107234616,0.3922904402,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Autumn,15,spearman,month_median,10,3,0.2803463713,0.2833857387,0.2083037324,0.36752019,3,0.6265,2,5,3,2-3,2-4,稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Autumn,15,spearman,month_median,15,3,0.2803463713,0.2834364474,0.2083037324,0.36752019,3,0.625,2,6.025,4.025,2-3,2-4,不稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Autumn,15,spearman,month_median,20,3,0.2803463713,0.2834364474,0.2083037324,0.36752019,3,0.625,2,6.025,4.025,2-3,2-4,不稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Spring,15,spearman,month_median,10,2,0.2664364293,0.2650090456,0.1707837205,0.3605396517,2,0.9775,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Spring,15,spearman,month_median,15,2,0.2664364293,0.2650090456,0.1707837205,0.3605396517,2,0.9775,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Spring,15,spearman,month_median,20,2,0.2664364293,0.2650090456,0.1707837205,0.3605396517,2,0.9775,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Summer,15,spearman,month_median,10,2,0.4017318666,0.4013651311,0.2816407494,0.5153309196,2,0.953,1,2,1,2,2,稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Summer,15,spearman,month_median,15,2,0.4017318666,0.4013651311,0.2816407494,0.5153309196,2,0.953,1,2,1,2,2,稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Summer,15,spearman,month_median,20,2,0.4017318666,0.4013651311,0.2816407494,0.5153309196,2,0.953,1,2,1,2,2,稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Winter,14,spearman,month_median,10,3,0.2857707385,0.2838516384,0.2062634777,0.3750591882,3,0.8435,3,10,7,3,2-3,不稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Winter,14,spearman,month_median,15,3,0.2857707385,0.2838516384,0.2071065255,0.3750591882,3,0.8415,3,10,7,3,2-3,不稳定,2000
full2020_month_median_spearman,Le'anhe,乐安河,Winter,14,spearman,month_median,20,3,0.2857707385,0.2838516384,0.2084746726,0.3750591882,3,0.8355,3,10,7,3,2-3,不稳定,2000
full2020_month_median_spearman,Liaohe,潦河,All,15,spearman,month_median,10,1,0.3736740027,0.3772643954,0.3310399145,0.4177497573,1,0.9545,1,2,1,1,1-2,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,All,15,spearman,month_median,15,1,0.3736740027,0.3772643954,0.3310399145,0.4177497573,1,0.9545,1,2,1,1,1-2,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,All,15,spearman,month_median,20,1,0.3736740027,0.3772643954,0.3310399145,0.4177497573,1,0.9545,1,2,1,1,1-2,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Autumn,15,spearman,month_median,10,2,0.3529321592,0.3564499319,0.239534558,0.4622515701,2,0.9835,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Autumn,15,spearman,month_median,15,2,0.3529321592,0.3564499319,0.239534558,0.4622515701,2,0.9835,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Autumn,15,spearman,month_median,20,2,0.3529321592,0.3564499319,0.239534558,0.4622515701,2,0.9835,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Spring,15,spearman,month_median,10,1,0.404910966,0.4115820676,0.288692645,0.5078506768,1,0.9985,1,1,0,1,1,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Spring,15,spearman,month_median,15,1,0.404910966,0.4115820676,0.288692645,0.5078506768,1,0.9985,1,1,0,1,1,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Spring,15,spearman,month_median,20,1,0.404910966,0.4115820676,0.288692645,0.5078506768,1,0.9985,1,1,0,1,1,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Summer,15,spearman,month_median,10,1,0.4496130553,0.4550219923,0.3807191044,0.517498982,1,1,1,1,0,1,1,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Summer,15,spearman,month_median,15,1,0.4496130553,0.4550219923,0.3807191044,0.517498982,1,1,1,1,0,1,1,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Summer,15,spearman,month_median,20,1,0.4496130553,0.4550219923,0.3807191044,0.517498982,1,1,1,1,0,1,1,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Winter,14,spearman,month_median,10,2,0.2734989374,0.2774982601,0.2129214022,0.34427469,2,0.754,2,3,1,2-3,2-3,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Winter,14,spearman,month_median,15,2,0.2734989374,0.2774982601,0.2129214022,0.34427469,2,0.754,2,3,1,2-3,2-3,稳定,2000
full2020_month_median_spearman,Liaohe,潦河,Winter,14,spearman,month_median,20,2,0.2734989374,0.2774982601,0.2129214022,0.34427469,2,0.754,2,3,1,2-3,2-3,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,All,15,spearman,month_median,10,2,0.4373703625,0.4384292066,0.4167254061,0.4589264214,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,All,15,spearman,month_median,15,2,0.4373703625,0.4384292066,0.4167254061,0.4589264214,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,All,15,spearman,month_median,20,2,0.4373703625,0.4384292066,0.4167254061,0.4589264214,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Autumn,15,spearman,month_median,10,3,0.3914967214,0.3944176584,0.3189482018,0.4643702172,3,0.8395,2,4,2,3,2-4,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Autumn,15,spearman,month_median,15,3,0.3914967214,0.3944176584,0.3189482018,0.4643702172,3,0.8395,2,4,2,3,2-4,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Autumn,15,spearman,month_median,20,3,0.3914967214,0.3944176584,0.3189482018,0.4643702172,3,0.8395,2,4,2,3,2-4,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Spring,15,spearman,month_median,10,2,0.4711429005,0.472055167,0.419574926,0.5170627236,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Spring,15,spearman,month_median,15,2,0.4711429005,0.472055167,0.419574926,0.5170627236,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Spring,15,spearman,month_median,20,2,0.4711429005,0.472055167,0.419574926,0.5170627236,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Summer,15,spearman,month_median,10,2,0.451626831,0.4505233318,0.3754787773,0.5338672638,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Summer,15,spearman,month_median,15,2,0.451626831,0.4505233318,0.3754787773,0.5338672638,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Summer,15,spearman,month_median,20,2,0.451626831,0.4505233318,0.3754787773,0.5338672638,2,1,2,2,0,2,2,稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Winter,14,spearman,month_median,10,3,0.3731269693,0.3747742176,0.2962889217,0.4539364174,3,0.5265,2,8,6,3-4,2-5,不稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Winter,14,spearman,month_median,15,3,0.3731269693,0.3747742176,0.2962889217,0.4539364174,3,0.526,2,8,6,3-4,2-5,不稳定,2000
full2020_month_median_spearman,Xinjiang,信江,Winter,14,spearman,month_median,20,3,0.3731269693,0.3747742176,0.2962889217,0.4539364174,3,0.526,2,8,6,3-4,2-5,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,All,15,spearman,month_median,10,7,0.1482038475,0.1512719691,0.1210834373,0.1885006092,8,0.3815,3,8,5,4;6-8,3-9,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,All,15,spearman,month_median,15,7,0.1482038475,0.1512719691,0.1210834373,0.1885006092,8,0.3795,3,8,5,4;6-8,3-9,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,All,15,spearman,month_median,20,7,0.1482038475,0.1512719691,0.1210834373,0.1885006092,8,0.3795,3,8,5,4;6-8,3-9,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,Autumn,15,spearman,month_median,10,7,0.06339460889,0.07475111634,0.01310884866,0.1657886818,7,0.446,0,8,8,0;6-7,0;5-8,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,Autumn,15,spearman,month_median,15,7,0.06339460889,0.08435587212,0.01995139662,0.1775755003,7,0.292,0,15,15,0;6-7;15,0;5-8;13-15,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,Autumn,15,spearman,month_median,20,20,0.1055319375,0.1124750413,0.03826699052,0.2025233317,20,0.6175,0,20,20,20,20,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,Spring,15,spearman,month_median,10,8,0.176666458,0.1808555871,0.09878344592,0.253199324,8,0.5055,5,9,4,7-8,6-9,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,Spring,15,spearman,month_median,15,8,0.176666458,0.1808555871,0.09892170187,0.253199324,8,0.5025,5,9,4,7-8,6-9,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,Spring,15,spearman,month_median,20,8,0.176666458,0.1808555871,0.09892170187,0.253199324,8,0.5025,5,9,4,7-8,6-9,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,Summer,15,spearman,month_median,10,3,0.2221435251,0.2240667716,0.1688797023,0.2802926987,3,0.7065,3,4,1,3-4,3-4,稳定,2000
full2020_month_median_spearman,Xiushui,修水,Summer,15,spearman,month_median,15,3,0.2221435251,0.224840343,0.1699199028,0.2805113457,3,0.6705,3,13,10,3-4,3-4,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,Summer,15,spearman,month_median,20,3,0.2221435251,0.224840343,0.1699199028,0.2805113457,3,0.6705,3,13,10,3-4,3-4,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,Winter,14,spearman,month_median,10,6,0.1136535934,0.1259420812,0.03783571832,0.2156030558,7,0.271,0,7,7,5-7,1;4-7,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,Winter,14,spearman,month_median,15,6,0.1136535934,0.1292951554,0.04506125515,0.216366984,7,0.2175,0,13,13,5-7,1;4-7,不稳定,2000
full2020_month_median_spearman,Xiushui,修水,Winter,14,spearman,month_median,20,6,0.1136535934,0.1292951554,0.04506125515,0.216366984,7,0.2175,0,13,13,5-7,1;4-7,不稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,All,14,spearman,month_median,10,4,0.3411432388,0.3440991491,0.3183491908,0.3695388451,4,0.551,4,5,1,4-5,4-6,稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,All,14,spearman,month_median,15,4,0.3411432388,0.3440991491,0.3183491908,0.3695388451,4,0.551,4,5,1,4-5,4-6,稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,All,14,spearman,month_median,20,4,0.3411432388,0.3440991491,0.3183491908,0.3695388451,4,0.551,4,5,1,4-5,4-6,稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,Autumn,14,spearman,month_median,10,5,0.3421853337,0.3445905596,0.260733147,0.4305543944,5,0.399,3,8,5,4-6,4-7,不稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,Autumn,14,spearman,month_median,15,5,0.3421853337,0.3445905596,0.260733147,0.4305543944,5,0.399,3,8,5,4-6,4-7,不稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,Autumn,14,spearman,month_median,20,5,0.3421853337,0.3445905596,0.260733147,0.4305543944,5,0.399,3,8,5,4-6,4-7,不稳定,2000
main_ganjiang_extreme_missing,Ganjiang,赣江,Spring,14,spearman,month_median,10,5,0.3874574022,0.3890362233,0.3489324592,0.4273752987,5,0.7475,4,6,2,4-5,4-6,稳定,2000
