config_id,basin_en,basin_cn,season,block_count,correlation_method,deseason_method,search_max_lag_days,observed_best_lag_days,observed_max_correlation,bootstrap_max_correlation_median,bootstrap_max_correlation_ci025,bootstrap_max_correlation_ci975,bootstrap_best_lag_mode_days,bootstrap_mode_probability,bootstrap_best_lag_ci025,bootstrap_best_lag_ci975,bootstrap_best_lag_ci_width_days,near_peak_001_lag_ranges,near_peak_002_lag_ranges,stability_class,bootstrap_reps,scenario_id,scenario_label,observed_rho_rank_desc,mode_lag_rank_asc,lag_distribution_overlap_vs_baseline,observed_best_lag_change_days,bootstrap_mode_lag_change_days,conclusion_stability
full2020_month_median_spearman,Le'anhe,乐安河,All,15,spearman,month_median,15,2,0.3109948709,0.3127502054,0.2107234616,0.3922904402,2,1,2,2,0,2,2,稳定,2000,include_2020,加入2020年共同降水序列,6,2,1,0,0,完全一致
full2020_month_median_spearman,Liaohe,潦河,All,15,spearman,month_median,15,1,0.3736740027,0.3772643954,0.3310399145,0.4177497573,1,0.9545,1,2,1,1,1-2,稳定,2000,include_2020,加入2020年共同降水序列,3,1,0.9625,0,0,完全一致
full2020_month_median_spearman,Xinjiang,信江,All,15,spearman,month_median,15,2,0.4373703625,0.4384292066,0.4167254061,0.4589264214,2,1,2,2,0,2,2,稳定,2000,include_2020,加入2020年共同降水序列,1,2,1,0,0,完全一致
full2020_month_median_spearman,Xiushui,修水,All,15,spearman,month_median,15,7,0.1482038475,0.1512719691,0.1210834373,0.1885006092,8,0.3795,3,8,5,4;6-8,3-9,不稳定,2000,include_2020,加入2020年共同降水序列,7,7,0.871,0,1,基本稳定
main_ganjiang_extreme_missing,Ganjiang,赣江,All,14,spearman,month_median,15,4,0.3411432388,0.3440991491,0.3183491908,0.3695388451,4,0.551,4,5,1,4-5,4-6,稳定,2000,ganjiang_extreme_missing,赣江2019-05-19降水设缺失,5,6,0.985,0,0,完全一致
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,2,0.3856155712,0.3853254914,0.3578171425,0.4153502189,2,1,2,2,0,2,2,稳定,2000,ganjiang_extreme_missing,赣江2019-05-19降水设缺失,3,2,1,0,0,完全一致
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,2,0.422212631,0.4239289016,0.3932849668,0.4555467553,2,0.9985,2,2,0,2,2,稳定,2000,ganjiang_extreme_missing,赣江2019-05-19降水设缺失,2,2,1,0,0,完全一致
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,2,0.3327987219,0.3344149292,0.2426914264,0.4109878004,2,1,2,2,0,2,2,稳定,2000,ganjiang_extreme_missing,赣江2019-05-19降水设缺失,6,2,1,0,0,完全一致
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,1,0.3709386941,0.3736600876,0.3236188158,0.417511297,1,0.992,1,1,0,1,1-2,稳定,2000,ganjiang_extreme_missing,赣江2019-05-19降水设缺失,4,1,1,0,0,完全一致
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,2,0.442719948,0.4437475055,0.4254003383,0.463280426,2,1,2,2,0,2,2,稳定,2000,ganjiang_extreme_missing,赣江2019-05-19降水设缺失,1,2,1,0,0,完全一致
main_month_median_spearman,Xiushui,修水,All,14,spearman,month_median,15,7,0.1525153825,0.15518637,0.1255045768,0.1904206708,7,0.408,3,10,7,6-8,3-9,不稳定,2000,ganjiang_extreme_missing,赣江2019-05-19降水设缺失,7,7,1,0,0,完全一致
main_smooth_doy_spearman,Changjiang,昌江,All,14,spearman,smooth_doy31,15,2,0.5353408682,0.5383298993,0.4986003801,0.5729437262,2,0.9365,1,2,1,1-2,1-2,稳定,2000,smooth_doy31,31日日历日平滑气候态异常Spearman,1,2,0.9365,0,0,完全一致
main_smooth_doy_spearman,Fuhe,抚河,All,14,spearman,smooth_doy31,15,2,0.4981627717,0.4996682853,0.4633907579,0.542185463,2,1,2,2,0,2,2,稳定,2000,smooth_doy31,31日日历日平滑气候态异常Spearman,3,2,0.9985,0,0,完全一致
main_smooth_doy_spearman,Ganjiang,赣江,All,14,spearman,smooth_doy31,15,5,0.3843491955,0.3860379308,0.3416760325,0.4397487782,5,0.614,4,5,1,4-5,4-6,稳定,2000,smooth_doy31,31日日历日平滑气候态异常Spearman,6,6,0.842,1,1,基本稳定
main_smooth_doy_spearman,Le'anhe,乐安河,All,14,spearman,smooth_doy31,15,2,0.4273216773,0.4285771549,0.3051682524,0.5278630883,2,0.998,2,2,0,2,2,稳定,2000,smooth_doy31,31日日历日平滑气候态异常Spearman,5,2,0.998,0,0,完全一致
main_smooth_doy_spearman,Liaohe,潦河,All,14,spearman,smooth_doy31,15,1,0.47785513,0.4796141237,0.4501486413,0.5195944056,1,1,1,1,0,1,1,稳定,2000,smooth_doy31,31日日历日平滑气候态异常Spearman,4,1,0.992,0,0,完全一致
main_smooth_doy_spearman,Xinjiang,信江,All,14,spearman,smooth_doy31,15,2,0.5341562323,0.5350941718,0.5001662552,0.572969389,2,1,2,2,0,2,2,稳定,2000,smooth_doy31,31日日历日平滑气候态异常Spearman,2,2,1,0,0,完全一致
main_smooth_doy_spearman,Xiushui,修水,All,14,spearman,smooth_doy31,15,7,0.2531337834,0.2561026067,0.1928658236,0.322894001,8,0.402,3,8,5,7-8,2-9,不稳定,2000,smooth_doy31,31日日历日平滑气候态异常Spearman,7,7,0.8785,0,1,基本稳定
main_raw_spearman,Changjiang,昌江,All,14,spearman,raw,15,2,0.3891039782,0.3892142624,0.3571947262,0.419475548,2,0.9715,2,3,1,2-3,2-3,稳定,2000,raw_spearman,原始序列Spearman,4,1,0.9715,0,0,完全一致
main_raw_spearman,Fuhe,抚河,All,14,spearman,raw,15,2,0.4838739265,0.4849853069,0.4353770114,0.5291358918,2,0.909,2,3,1,2-3,2-3,稳定,2000,raw_spearman,原始序列Spearman,2,1,0.9105,0,0,完全一致
main_raw_spearman,Ganjiang,赣江,All,14,spearman,raw,15,5,0.5045661947,0.5048169196,0.4629206598,0.5471613973,5,0.698,5,6,1,5-6,4-7,稳定,2000,raw_spearman,原始序列Spearman,1,6,0.459,1,1,明显改变
main_raw_spearman,Le'anhe,乐安河,All,14,spearman,raw,15,2,0.3725764698,0.3748022467,0.3003914692,0.4324089371,2,0.833,2,3,1,2-3,2-3,稳定,2000,raw_spearman,原始序列Spearman,6,1,0.833,0,0,完全一致
main_raw_spearman,Liaohe,潦河,All,14,spearman,raw,15,2,0.3748822752,0.3803199977,0.2926851727,0.4349406451,2,0.5845,1,2,1,1-2,1-2,稳定,2000,raw_spearman,原始序列Spearman,5,1,0.4235,1,1,明显改变
main_raw_spearman,Xinjiang,信江,All,14,spearman,raw,15,2,0.4788422684,0.4780108929,0.4492543668,0.5092201769,2,0.9855,2,2,0,2,2-3,稳定,2000,raw_spearman,原始序列Spearman,3,1,0.9855,0,0,完全一致
main_raw_spearman,Xiushui,修水,All,14,spearman,raw,15,7,0.2036949408,0.2087284625,0.1642832287,0.2541866712,8,0.289,3,13,10,4-8,3-10;13,不稳定,2000,raw_spearman,原始序列Spearman,7,7,0.7385,0,1,基本稳定
main_month_median_pearson,Changjiang,昌江,All,14,pearson,month_median,15,1,0.7012171781,0.7028966546,0.6556686848,0.7385272607,1,1,1,1,0,1,1,稳定,2000,month_median_pearson,月份中位数异常Pearson,1,1,0,-1,-1,明显改变
main_month_median_pearson,Fuhe,抚河,All,14,pearson,month_median,15,2,0.6043107735,0.6044752002,0.5527528957,0.6458316565,2,1,2,2,0,2,2,稳定,2000,month_median_pearson,月份中位数异常Pearson,3,5,0.9985,0,0,完全一致
main_month_median_pearson,Ganjiang,赣江,All,14,pearson,month_median,15,3,0.3126738588,0.3166883588,0.2592267819,0.4503300488,3,0.7395,3,4,1,3-4,3-4,稳定,2000,month_median_pearson,月份中位数异常Pearson,7,7,0.2625,-1,-1,明显改变
main_month_median_pearson,Le'anhe,乐安河,All,14,pearson,month_median,15,1,0.5802645398,0.5845890641,0.4324745327,0.6869709909,1,1,1,1,0,1,1,稳定,2000,month_median_pearson,月份中位数异常Pearson,5,1,0,-1,-1,明显改变
main_month_median_pearson,Liaohe,潦河,All,14,pearson,month_median,15,1,0.5817253314,0.5868890285,0.4860963047,0.6654906675,1,1,1,1,0,1,1,稳定,2000,month_median_pearson,月份中位数异常Pearson,4,1,0.992,0,0,完全一致
main_month_median_pearson,Xinjiang,信江,All,14,pearson,month_median,15,1,0.6375593469,0.6374411285,0.5966309801,0.6705300033,1,0.944,1,2,1,1,1,稳定,2000,month_median_pearson,月份中位数异常Pearson,2,1,0.056,-1,-1,明显改变
main_month_median_pearson,Xiushui,修水,All,14,pearson,month_median,15,2,0.338839136,0.3354274631,0.2309493989,0.4303551748,2,0.9055,2,5,3,2,2,稳定,2000,month_median_pearson,月份中位数异常Pearson,6,5,0.0925,-5,-5,明显改变
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,10,2,0.3856155712,0.3853254914,0.3578171425,0.4153502189,2,1,2,2,0,2,2,稳定,2000,lag_window_0_10,搜索窗0-10天,3,2,1,0,0,完全一致
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,10,2,0.422212631,0.4239289016,0.3932849668,0.4555467553,2,0.9985,2,2,0,2,2,稳定,2000,lag_window_0_10,搜索窗0-10天,2,2,1,0,0,完全一致
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,10,4,0.3415416306,0.3438619673,0.3186560862,0.3696551614,4,0.539,4,5,1,4-5,4-6,稳定,2000,lag_window_0_10,搜索窗0-10天,5,6,1,0,0,完全一致
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,10,2,0.3327987219,0.3344149292,0.2426914264,0.4109878004,2,1,2,2,0,2,2,稳定,2000,lag_window_0_10,搜索窗0-10天,6,2,1,0,0,完全一致
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,10,1,0.3709386941,0.3736600876,0.3236188158,0.417511297,1,0.992,1,1,0,1,1-2,稳定,2000,lag_window_0_10,搜索窗0-10天,4,1,1,0,0,完全一致
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,10,2,0.442719948,0.4437475055,0.4254003383,0.463280426,2,1,2,2,0,2,2,稳定,2000,lag_window_0_10,搜索窗0-10天,1,2,1,0,0,完全一致
main_month_median_spearman,Xiushui,修水,All,14,spearman,month_median,10,7,0.1525153825,0.1551646069,0.1255045768,0.1904206708,7,0.4095,3,10,7,6-8,3-9,不稳定,2000,lag_window_0_10,搜索窗0-10天,7,7,0.996,0,0,完全一致
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,20,2,0.3856155712,0.3853254914,0.3578171425,0.4153502189,2,1,2,2,0,2,2,稳定,2000,lag_window_0_20,搜索窗0-20天,3,2,1,0,0,完全一致
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,20,2,0.422212631,0.4239289016,0.3932849668,0.4555467553,2,0.9985,2,2,0,2,2,稳定,2000,lag_window_0_20,搜索窗0-20天,2,2,1,0,0,完全一致
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,20,4,0.3415416306,0.3438619673,0.3186560862,0.3696551614,4,0.539,4,5,1,4-5,4-6,稳定,2000,lag_window_0_20,搜索窗0-20天,5,6,1,0,0,完全一致
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,20,2,0.3327987219,0.3344149292,0.2426914264,0.4109878004,2,1,2,2,0,2,2,稳定,2000,lag_window_0_20,搜索窗0-20天,6,2,1,0,0,完全一致
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,20,1,0.3709386941,0.3736600876,0.3236188158,0.417511297,1,0.992,1,1,0,1,1-2,稳定,2000,lag_window_0_20,搜索窗0-20天,4,1,1,0,0,完全一致
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,20,2,0.442719948,0.4437475055,0.4254003383,0.463280426,2,1,2,2,0,2,2,稳定,2000,lag_window_0_20,搜索窗0-20天,1,2,1,0,0,完全一致
main_month_median_spearman,Xiushui,修水,All,14,spearman,month_median,20,7,0.1525153825,0.15518637,0.1255045768,0.1904206708,7,0.408,3,10,7,6-8,3-9,不稳定,2000,lag_window_0_20,搜索窗0-20天,7,7,1,0,0,完全一致
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,2,0.3856155712,0.3853254914,0.3578171425,0.4153502189,2,1,2,2,0,2,2,稳定,2000,exclude_liaohe,排除潦河后的六流域,3,1,1,0,0,完全一致
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,2,0.422212631,0.4239289016,0.3932849668,0.4555467553,2,0.9985,2,2,0,2,2,稳定,2000,exclude_liaohe,排除潦河后的六流域,2,1,1,0,0,完全一致
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,4,0.3415416306,0.3438619673,0.3186560862,0.3696551614,4,0.539,4,5,1,4-5,4-6,稳定,2000,exclude_liaohe,排除潦河后的六流域,4,5,1,0,0,完全一致
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,2,0.3327987219,0.3344149292,0.2426914264,0.4109878004,2,1,2,2,0,2,2,稳定,2000,exclude_liaohe,排除潦河后的六流域,5,1,1,0,0,完全一致
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,2,0.442719948,0.4437475055,0.4254003383,0.463280426,2,1,2,2,0,2,2,稳定,2000,exclude_liaohe,排除潦河后的六流域,1,1,1,0,0,完全一致
main_month_median_spearman,Xiushui,修水,All,14,spearman,month_median,15,7,0.1525153825,0.15518637,0.1255045768,0.1904206708,7,0.408,3,10,7,6-8,3-9,不稳定,2000,exclude_liaohe,排除潦河后的六流域,6,6,1,0,0,完全一致
